 
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=1.722s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:04,nw_src=10.0.0.13,nw_dst=10.0.0.4,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.886s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:09,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.9,nw_dst=10.0.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.336s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:10,dl_dst=00:00:00:00:00:05,nw_src=10.0.0.16,nw_dst=10.0.0.5,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.653s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:08,dl_dst=00:00:00:00:00:0d,nw_src=10.0.0.8,nw_dst=10.0.0.13,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.672s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.13,nw_dst=10.0.0.7,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.372s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0e,dl_dst=00:00:00:00:00:05,nw_src=10.0.0.14,nw_dst=10.0.0.5,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.017s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=4, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.13,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.158s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:06,nw_src=10.0.0.13,nw_dst=10.0.0.6,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.613s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:09,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.9,nw_dst=10.0.0.3,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.074s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0b,dl_dst=00:00:00:00:00:08,nw_src=10.0.0.11,nw_dst=10.0.0.8,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.418s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.1,nw_dst=10.0.0.10,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.968s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0b,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.11,nw_dst=10.0.0.7,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.317s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.904s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0f,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.15,nw_dst=10.0.0.7,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.48s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0e,nw_src=10.0.0.7,nw_dst=10.0.0.14,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
